OBJECTID,ASSET_ID,SITE_NAME,FEATURE_ID,LOCATION,TYPE,SITE_CODE,UPRN,CENTROID_X,CENTROID_Y,FEATURE_AREA,FEATURE_LENGTH,WEB_SITE,MAJOR_SITE,SHAPESTArea,SHAPESTLength
29,PK00144718,Bamfield Green Space,Open Space,,Parks and Green Space Site,BAMFRO,000000303400,360073.4172,168040.6048,37832.54941,889.6088322,in,37832.549*,37832.54941,889.6088322
30,PK00144713,Avonmouth Park,Local Park," Play Area,",Parks and Green Space Site,AVONPA,000000303365,351684.8483,178177.5035,9244.640178,461.120041,in,9244.6401*,9244.640178,461.120041
31,PK00272670,Bangrove Walk CPG,Childrens Play Only," Play Area,",Parks and Green Space Site,BANGWACPG,,353403.8279,177662.7768,1053.829932,134.0475964,out,1053.8299*,1053.829932,134.0475964
32,PK00144720,Barnard Park,Open Space,,Parks and Green Space Site,BARNPAWEFA,000000303474,356937.7436,179032.4933,11292.37001,752.4841707,in,11292.370*,11292.37001,752.4841707
33,PK00144721,Barracks Lane Open Space,Open Space,,Parks and Green Space Site,BARRLAOS,000000303806,352997.8818,177789.2403,4348.06154,374.5701318,in,4348.0615*,4348.06154,374.5701318
34,PK00144723,Barton Hill Road A/A,Amenity Area,,Parks and Green Space Site,BARTHIROAA,000000303263,360778.7114,173042.4385,2250.019365,238.9701198,In,2250.0193*,2250.019365,238.9701198
35,PK00144728,Begbrook Green Park,District Park," Play Area, Sports Facilities,",Parks and Green Space Site,BEGBGRPA,000000303329,363070.1916,177079.5006,77526.69561,2180.736539,In,77526.695*,77526.69561,2180.736539
36,PK00144719,Bannerman Road Park,Local Park," Play Area,",Parks and Green Space Site,BANNROPA,000000303266,360701.8343,173839.8053,4485.456056,295.4200355,In,4485.4560*,4485.456056,295.4200355
37,PK00144729,Belland Drive Open Space,Open Space,,Parks and Green Space Site,BELLDROS,000000303498,359906.4142,167662.0521,10275.61592,644.2420508,out,10275.615*,10275.61592,644.2420508
38,PK00144731,Belmont Street Amenity Area,Pocket Park,,Parks and Green Space Site,BELLSTSTMA,000000303870,360712.0878,174426.7905,585.150076,100.4089729,In,585.15007*,585.150076,100.4089729
39,PK00144730,Bellevue Road Park,Local Park," Play Area,",Parks and Green Space Site,BELLROCP,000000299605,361090.361,174400.8776,1592.43867,248.3473128,In,1592.4386*,1592.43867,248.3473128
40,PK00144734,Billand Close,Road Verges,,Parks and Green Space Site,BILLCL,000000303485,356369.3986,167356.1011,1824.089087,275.5453927,out,1824.0890*,1824.089087,275.5453927
41,PK00144736,Blaise Castle Estate,Destination Park,"SAM, Museum, Attraction, Cafe/Mobile Catering, Play Area, Sports Facilities,",Parks and Green Space Site,BLAICAES,000000205508,355654.7141,178111.7488,1222676.243,10921.66014,in,1223426.8*,1222676.243,10749.67965
42,PK00144741,Bonville Road Open Space,Open Space,,Parks and Green Space Site,BONVROOS,000000303896,362646.1401,170805.4555,10341.06264,555.869125,Out,10341.062*,10341.06264,555.869125
43,PK00144739,Bloy Square,Amenity Area,,Parks and Green Space Site,BLOYSQ,000000303470,361143.0943,174093.816,796.2653,115.8746288,out,796.26529*,796.2653,115.8746288
44,PK00144738,Blake Road Open Space,Open Space," Attraction,",Parks and Green Space Site,BLAKROOS,000000303274,360474.6127,176655.6308,14196.56207,901.8139983,Out,14196.562*,14196.56207,901.8139983
45,PK00144749,Bridgwater Road Amenity Area,Open Space,,Parks and Green Space Site,BRIDRO,000000303479,356736.1178,169645.8126,2134.402044,413.4247764,Out,2134.4020*,2134.402044,413.4247764
46,PK00145122,Briery Leaze Road Open Space,Open Space,,Parks and Green Space Site,WHITPH2,000000303823,360310.1429,168209.3506,107072.8391,2047.913962,Pe*,107072.83*,107072.8391,2047.913962
47,PK00144745,Brandon Hill Park,City Centre Park,"Heritage at Risk, Attraction, Cafe/Mobile Catering, Play Area,",Parks and Green Space Site,BRANHIPA,000000303372,357918.8524,172846.0026,84487.4295,1571.299067,In,84487.429*,84487.42951,1571.299067
48,PK00144743,Bracey Drive Open Space,Open Space,,Parks and Green Space Site,BRACDROS,000000303852,364287.2447,176824.5802,2051.869494,187.7356129,In,2051.8694*,2051.869494,187.7356129
49,PK00144747,Brentry Hill,Amenity Land,,Parks and Green Space Site,BRENHI, ,357361.1015,178831.7315,4349.523847,410.2014494,in,4349.5238*,4349.523847,410.2014494
50,PK00144746,Brean Down Avenue A/A,Amenity Area,,Parks and Green Space Site,BREADOAVAA,000000303333,357688.4897,176086.6335,3052.132244,364.96967,Out,3052.1322*,3052.132244,364.96967
51,PK00144744,Bradeston Grove & Sterncourt Road,Road Verges,,Parks and Green Space Site,BRADGRSTRO,000000303326,363268.4456,177313.231,4275.455625,334.5699155,In,4275.4556*,4275.455625,334.5699155
52,PK00144750,Briery Leaze Road Amenity Area,Amenity Area,,Parks and Green Space Site,BRIELERORO, ,360209.6373,167880.8967,907.4134825,419.8194745,Out,907.41348*,907.4134825,419.8194745
53,PK00144755,Bristol Cathedral,Amenity Area,Grade 1 Listed Building,Parks and Green Space Site,BRISCA,000000303878,358337.3664,172701.9349,3158.049232,521.2015062,Out,3158.0492*,3158.049232,521.2015062
54,PK00144780,Charles Place Childrens Play Ground,Childrens Play Only," Attraction, Play Area,",Parks and Green Space Site,CHARPLHO,000000303200,357043.222,172518.8354,402.1838095,114.900021,In,402.18380*,402.1838095,114.9000209
55,PK00144779,Chaplin Road Green Space,Pocket Park,,Parks and Green Space Site,CHAPRO,000000303872,360763.9675,174142.0173,374.6965485,79.82364274,In,374.69654*,374.6965485,79.82364274
56,PK00144776,Canynge Square Park,Local Park,,Parks and Green Space Site,CANYSQ,000000299131,356868.6599,173564.4063,1402.915782,185.538975,Pe*,1402.9157*,1402.915782,185.538975
57,PK00144775,Canford Park,District Park," Attraction, Cafe/Mobile Catering, Play Area, Sports Facilities,",Parks and Green Space Site,CANFPAANCP,000000299728,356711.974,177331.3685,49733.47701,994.7970114,in,49733.477*,49733.47701,994.7970114
58,PK00144782,Cherry Tree Garden Amenity Area,Amenity Area,Listed Building,Parks and Green Space Site,CHERRGAWHH,000000303905,357790.5941,172643.9128,374.2800235,80.78973369,In,374.28002*,374.2800235,80.78973368
59,PK00144781,Cheddar Grove,Amenity Area,,Parks and Green Space Site,CHEDGR,000000303493,357165.5227,169653.9921,2082.704656,196.5611658,Out,2082.7046*,2082.704656,196.5611658
60,PK00144759,Broadwalk Roundabout,Roundabouts,,Parks and Green Space Site,BROAROA,000000303651,359914.9197,170491.9336,2115.452067,175.6568454,Out,2115.4520*,2115.452067,175.6568454
61,PK00144758,Broadwalk Open Space,Open Space,,Parks and Green Space Site,BROAOS,000000303667,360463.2044,170635.5602,2319.208055,242.0307052,out,2319.2080*,2319.208055,242.0307052
62,PK00144756,Brixton Road Amenity Area,Local Park,,Parks and Green Space Site,BRIXROAA,000000303821,360888.9403,173685.1336,602.3097405,112.0807981,In,602.30974*,602.3097405,112.080798
63,PK00144757,Brixham Road Open Space,Open Space,,Parks and Green Space Site,BRIXROOS,000000303403,358404.8714,170413.0947,12369.11984,697.8886599,in,12369.119*,12369.11984,697.8886599
64,PK00144808,Brunel Lock Amenity Area,Amenity Area," Attraction,",Parks and Green Space Site,BRUNLOAA, ,356746.9501,172302.642,1534.80765,408.0060776,out,1534.8076*,1534.80765,408.0060776
65,PK00144763,Broomhill Road Park,Pocket Park,,Parks and Green Space Site,BROOROPA,000000303885,362802.7236,171403.5438,694.567721,109.0422713,In,694.56772*,694.567721,109.0422713
66,PK00144764,Brook Street CPG,Local Park," Play Area,",Parks and Green Space Site,BROOSTCP,000000302327,361225.12,173510.7269,1235.784073,156.257144,In,1235.7840*,1235.784073,156.257144
67,PK00144770,Byron Street Amenity Area,Amenity Area,,Parks and Green Space Site,BYROSTNERO, ,360050.7755,174267.6358,1453.40346,188.4769113,Out,1453.4034*,1453.40346,188.4769113
68,PK00144767,Burnbush Close Open Space,Open Space,,Parks and Green Space Site,BURNCLOS,000000303646,362420.852,168889.7031,1546.208757,237.4070538,Pe*,1546.2087*,1546.208757,237.4070538
69,PK00144765,Brunswick Square Green Space,Local Park,,Parks and Green Space Site,BRUNSQ,000000303223,359253.0853,173630.2661,1599.546481,160.4624131,In,1599.5464*,1599.546481,160.4624131
70,PK00144766,Brunswick Square Cemetery,Local Park," Attraction,",Parks and Green Space Site,BRUNSQCE,000000303213,359272.507,173727.8349,4687.712939,372.4990181,Out,4687.7129*,4687.71294,372.499018
71,PK00144774,Canford Lane Woodlands,Open Space,,Parks and Green Space Site,CANFLAWO,000000303689,356038.7958,177474.108,6804.352916,337.968403,in,6804.3529*,6804.352916,337.968403
72,PK00144771,Callington Road Nature Reserve,Open Space,,Parks and Green Space Site,CALLROOS,000000303475,361129.2962,170354.643,63924.5346,1570.294093,in,63924.534*,63924.5346,1570.294093
73,PK00144786,Claremont Street Amenity Area,Amenity Area,,Parks and Green Space Site,CLAREST,000000303264,360421.8464,174047.9301,825.0675255,173.9930091,Out,825.06752*,825.0675255,173.9930091
74,PK00144785,Clack Mills Green Space,Open Space,,Parks and Green Space Site,CLACMI,000000303547,355453.7942,176912.0695,61144.21032,2044.318847,in,61144.210*,61144.21033,2044.318847
75,PK00144783,Chocolate Path S/O Cumberland Road,Open Space,Listed Building,Parks and Green Space Site,CHOCPACURO, ,357655.6171,172129.0833,2896.291089,2020.939138,Out,2896.2910*,2896.29109,2020.939138
76,PK00144788,Clark Street Green Space,Pocket Park,,Parks and Green Space Site,CLARST,000000303254,360211.479,173860.7231,613.1069415,117.7741007,In,613.10694*,613.1069415,117.7741007
77,PK00144787,Clarence Road O/S,Open Space,,Parks and Green Space Site,CLARRO,000000303214,360138.8539,173352.9021,2473.468711,450.5349922,pe*,2473.4687*,2473.468712,450.5349922
78,PK00144793,Cobden Street AA,Amenity Area,,Parks and Green Space Site,COBDSTAA, ,361008.6039,173309.9768,1974.093314,239.163563,In,1974.0933*,1974.093314,239.163563
79,PK00144791,Clifton Parish Churchyard,Local Park," Attraction,",Parks and Green Space Site,CLIFPACH,000000299650,357390.6395,172996.9686,10727.81779,548.3752417,Out,10727.817*,10727.81779,548.3752417
80,PK00144790,Clifton Hill Open Space,Amenity Area,,Parks and Green Space Site,CLIFHIOS,000000303219,357372.4796,172877.3002,4769.241512,642.0153569,out,4769.2415*,4769.241512,642.0153569
81,PK00144795,College Green Green Space,Amenity Area," Attraction,",Parks and Green Space Site,COLLGR,000000303396,358338.4293,172769.8011,13014.12289,574.4458679,Pe*,13014.122*,13014.12289,574.4458679
82,PK00144794,Colebrook Road Open Space,Open Space,,Parks and Green Space Site,COLEROCP,000000303322,364237.3527,173746.0591,5831.872933,487.3007743,In,5831.8729*,5831.872933,487.3007743
83,PK00144802,Court Farm Road Open Space,Open Space,,Parks and Green Space Site,COURFAROOS,000000303817,359793.289,167379.0089,16584.82779,921.8748723,out,16584.827*,16584.82779,921.8748723
84,PK00144801,Cottle Road Green Space,Local Park," Play Area,",Parks and Green Space Site,COTTRO,000000303399,362647.4593,168515.2329,4527.828256,285.5751877,in,4527.8282*,4527.828256,285.5751876
85,PK00144800,Cotswold Road Open Space,Open Space,,Parks and Green Space Site,COTSROOS,000000303838,358645.9851,171253.1456,8575.781122,914.3445923,in,8575.7811*,8575.781122,914.3445923
86,PK00144797,Cook Street Open Space,Open Space,,Parks and Green Space Site,COOKSTOS,000000303364,352125.8281,177812.9676,7410.378479,405.3413564,in,7515.3824*,7410.378479,395.3930606
87,PK00144809,Cumberland Basin (South),Open Space,"Heritage at Risk,",Parks and Green Space Site,CUMBBASO,000000303247,356760.8305,172065.8434,40601.83695,1890.605556,pe*,40601.836*,40601.83695,1890.605556
88,PK00201118,Crews Hole Road Open Space,Open Space,,Parks and Green Space Site,CREWHORO, ,362685.4156,173202.71,56771.874,1189.005437,In,56771.874*,56771.874,1189.005437
89,PK00145092,Crescent Road Green Space,Amenity Area," Play Area,",Parks and Green Space Site,THECROLSC,000000303879,364470.9784,176861.4821,933.827207,125.8337165,in,933.82720*,933.827207,125.8337165
90,PK00144803,Craydon Grove,Open Space,,Parks and Green Space Site,CRAYGR,000000303809,361473.5088,167983.5674,12759.21432,684.1760118,in,12759.214*,12759.21432,684.1760118
91,PK00144810,Dalby Avenue,Road Verges,,Parks and Green Space Site,DALBAV,000000303361,358710.9744,171455.0248,3640.613379,286.8055502,in,3640.6133*,3640.613379,286.8055502
92,PK00144813,Delabere Avenue,Road Verges,,Parks and Green Space Site,DELAAV,000000303319,364042.5297,176389.658,5842.934325,397.9469316,Out,5842.9343*,5842.934325,397.9469316
93,PK00144812,Dame Emily Park,Local Park," Play Area, Sports Facilities,",Parks and Green Space Site,DAMEEMPA,000000303291,358284.0498,171684.8567,16405.00646,606.4606626,in,16405.006*,16405.00646,606.4606626
94,PK00144814,Derricke Road,Amenity Area,,Parks and Green Space Site,DERRRO, ,362753.0185,168625.6263,918.9686505,202.4513346,out,918.96865*,918.9686505,202.4513346
95,PK00144815,Dingle Close,Local Park," Sports Facilities,",Parks and Green Space Site,DINGCL,000000303548,355173.534,176610.363,2941.895489,206.8511441,in,2941.8954*,2941.89549,206.8511441
96,PK00144819,Dove Street Amenity Area,Amenity Area," Play Area,",Parks and Green Space Site,DOVEST,000000303209,358763.6951,173723.5634,2273.9785,264.9121803,In,2273.9785*,2273.9785,264.9121803
97,PK00144816,Doncaster Road Park,Local Park," Play Area,",Parks and Green Space Site,DONCROPA,000000303350,358108.4384,178179.0338,37559.59974,1208.275309,in,37559.599*,37559.59974,1208.275309
98,PK00144822,Duchess Way Open Space,Open Space,,Parks and Green Space Site,DUCHWAOS,000000303332,361877.2629,176694.293,12608.21213,626.5340732,In,12608.212*,12608.21213,626.5340732
99,PK00144821,Duchess Way Estate,Road Verges,,Parks and Green Space Site,DUCHWAES,000000303465,361762.2047,176451.6285,1473.982975,180.0659573,Out,1473.9829*,1473.982975,180.0659573
100,PK00144820,Downend Park Farm Open Space,Open Space,,Parks and Green Space Site,DOWNPKFA,000000303420,360035.8546,176507.9683,4184.16425,368.2681704,In,4184.1642*,4184.16425,368.2681704
101,PK00144818,Dovercourt Road Open Space,Open Space,,Parks and Green Space Site,DOVEROOS,000000303422,360057.2956,176160.658,8767.293221,491.5585461,In,8767.2932*,8767.293221,491.5585461
102,PK00144832,Elm Lane Amenity Area,No Code Allocated,,Parks and Green Space Site,ELMLA,000000303876,357543.8514,174857.9659,576.0548735,117.5340094,in,576.05487*,576.0548735,117.5340094
103,PK00144831,Ellesmere Road & River Bank Open Space,Open Space,,Parks and Green Space Site,ELLERORIOS,000000303888,361584.7454,170000.1577,2423.878142,598.211055,out,2423.8781*,2423.878143,598.211055
104,PK00144829,Eastwood Road Childrens Play Ground,Local Park," Play Area,",Parks and Green Space Site,EASTRDCP,000000303670,362873.0053,171616.7814,1617.50075,162.0623925,In,1617.5007*,1617.50075,162.0623925
105,PK00144826,Eastwood Farm,Open Space,,Parks and Green Space Site,EASTFAINCO,000000303804,363164.4948,171644.1865,270409.9391,3503.533506,Pa*,270409.93*,270409.9391,3503.533506
106,PK00144828,Eastville Park,District Park," Attraction, Cafe/Mobile Catering, Play Area, Sports Facilities,",Parks and Green Space Site,EASTPK,000000303499,361722.6043,175506.791,399850.3071,6095.729452,In,399850.30*,399850.3071,6095.729452
107,PK00144834,Emerson Square CPG,Childrens Play Only," Play Area,",Parks and Green Space Site,EMERSQ,000000303349,360503.9277,177855.3932,1202.640038,190.7469301,In,1202.6400*,1202.640038,190.7469301
108,PK00144833,Embleton Road CPG,Amenity Area," Play Area,",Parks and Green Space Site,EMBLROCP,000000303355,358099.1335,178544.9098,2069.919516,201.1093222,in,2069.9195*,2069.919516,201.1093222
109,PK00144836,Fallodon Way Childrens Play Ground,Local Park," Play Area,",Parks and Green Space Site,FALLWACP,000000303342,357891.8982,176110.9925,2182.020287,201.6190691,in,2182.0202*,2182.020287,201.6190691
110,PK00144835,Falcondale Walk,Road Verges,,Parks and Green Space Site,FALCWA,000000303699,357263.2408,177883.2537,2536.155971,479.1627106,out,2536.1559*,2536.155971,479.1627106
111,PK00144841,Fishponds Park,Local Park," Attraction, Play Area,",Parks and Green Space Site,FISHPA,000000303272,363368.9193,175959.9097,4123.678145,269.9133294,In,4123.6781*,4123.678146,269.9133294
112,PK00144840,Filwood Playing Fields,Playing Field," Sports Facilities,",Parks and Green Space Site,FILWPLFI,000000272895,359170.0394,169300.0736,87382.68805,1573.101595,pe*,87382.688*,87382.68805,1573.101595
113,PK00144838,Filwood Broadway,Amenity Area," Play Area,",Parks and Green Space Site,FILWBR, ,359365.7811,169684.5902,2166.537597,272.1531006,out,2166.5375*,2166.537597,272.1531006
114,PK00144848,Fremantle Square Green Space,Amenity Area,Listed Building,Parks and Green Space Site,FREESQ,000000299761,358945.5367,174075.7216,913.0989955,117.3709013,In,913.09899*,913.0989955,117.3709013
115,PK00144844,Fortfield Road O/S,Open Space,,Parks and Green Space Site,FORTROOS,000000303824,360352.4789,167827.8989,6513.469084,452.9077949,out,6513.4690*,6513.469084,452.9077949
116,PK00144843,Fortfield Green,Pocket Park," Play Area,",Parks and Green Space Site,FORTGR,000000303533,360568.7039,168125.113,2287.863666,183.5441032,out,2287.8636*,2287.863666,183.5441032
117,PK00144842,Fonthill Park,Open Space,,Parks and Green Space Site,FONTPA,000000303347,359211.7944,178760.8654,11358.9701,526.6745981,in,11358.970*,11358.9701,526.6745981
118,PK00144852,Furber Road,Road Verges,,Parks and Green Space Site,FURBRO,000000299479,363870.1506,173129.3313,3827.409673,593.7276435,In,3827.4096*,3827.409674,593.7276435
119,PK00144851,Froomsgate House Amenity Area,Amenity Area,Listed Building,Parks and Green Space Site,FROOHO,000000303210,358709.9418,173249.4701,1310.83794,180.0425838,Out,1310.8379*,1310.83794,180.0425838
120,PK00144850,Friends Burial Ground,Local Park,"SAM Attraction,",Parks and Green Space Site,FRIEBUGR,000000299070,359036.9326,172353.4424,1200.435671,163.4751652,In,1200.4356*,1200.435671,163.4751652
121,PK00144858,Gill Avenue,Road Verges,,Parks and Green Space Site,GILLAV,000000303665,363974.4127,176588.4662,5472.666507,500.7858759,pe*,5472.6665*,5472.666507,500.7858759
122,PK00144856,Gaunts Ham Park,Local Park," Play Area,",Parks and Green Space Site,GAUNHAPA,000000299415,360684.5929,173244.8705,10337.97164,511.9695388,In,10337.971*,10337.97164,511.9695388
123,PK00144853,Gainsborough Square Park,Amenity Area," Play Area,",Parks and Green Space Site,GAINSQ,000000303339,360981.2659,176979.0694,8298.524686,349.325919,In,8298.5246*,8298.524686,349.325919
124,PK00144865,Glyn Vale Open Space,Open Space,,Parks and Green Space Site,GLYNVAOS,000000302902,359194.3635,170400.8192,89616.28892,2157.692087,Pa*,89616.288*,89616.28892,2157.692087
125,PK00144864,Glencoyne Square,Local Park,,Parks and Green Space Site,GLENSQ,000000303354,358233.5957,178548.8584,14389.1503,502.1680089,out,14389.150*,14389.1503,502.1680089
126,PK00144861,Gladstone Street CPG,Amenity Area,,Parks and Green Space Site,GLADSTCP,000000303271,361624.7668,173399.818,1348.469986,196.6714646,In,1348.4699*,1348.469986,196.6714646
127,PK00144860,Gillebank Close,Amenity Area,,Parks and Green Space Site,GILLCL,000000303647,361982.7801,168169.6843,917.4073305,115.1754936,out,917.40733*,917.4073305,115.1754936
128,PK00144859,Gill Avenue Hut,Open Space,,Parks and Green Space Site,GILLAVHU,000000303314,363880.8359,176713.7738,7733.222898,509.0488998,In,7733.2228*,7733.222898,509.0488998
129,PK00144870,Greville Smyth Park,District Park," Play Area, Sports Facilities,",Parks and Green Space Site,GREVSMPA,000000303325,356933.9151,171706.8361,97536.76244,1804.596813,in,97536.762*,97536.76244,1804.596813
130,PK00144869,Greenhill Plantation,Open Space,,Parks and Green Space Site,GREEPL,000000303363,355114.0788,178378.3334,19438.26594,672.9630012,in,19438.265*,19438.26594,672.9630012
131,PK00144868,Great Hayles Road Amenity Area,Amenity Area,,Parks and Green Space Site,GREAHARO,000000303540,360372.3061,168715.9525,2004.533073,240.3987288,out,2004.5330*,2004.533073,240.3987288
132,PK00144867,Gores Marsh Park,Local Park," Play Area,",Parks and Green Space Site,GOREMA,000000303481,357081.7771,170975.3431,22000.02646,628.2372315,in,22000.026*,22000.02646,628.2372315
133,PK00200068,Greystoke Avenue A/A,Amenity Area,,Parks and Green Space Site,GREYAVAA, ,357316.9984,177845.4434,1300.025998,222.0731363,out,1300.0259*,1300.025998,222.0731363
134,PK00144872,Grosvenor Road Open Space,Open Space,,Parks and Green Space Site,GROSRO,000000303228,359558.7058,174015.5568,1907.105037,321.6431395,Out,1907.1050*,1907.105037,321.6431395
135,PK00144873,Grosvenor Road Amenity Area,Local Park," Attraction,",Parks and Green Space Site,GROSROASRA,000000303206,359709.1403,174223.5401,1600.651985,219.7764579,In,1600.6519*,1600.651986,219.7764579
136,PK00144871,Greystoke Avenue O/S,Local Park,,Parks and Green Space Site,GREYAVOS,000000303351,358440.7106,178495.5401,23488.68033,1939.019835,out,23488.680*,23488.68033,1939.019835
137,PK00144877,Hartcliffe Millennium Green,Local Park," Play Area,",Parks and Green Space Site,HARTMIGR,000000303825,358980.6059,167638.9111,10967.7525,580.5797135,in,10967.752*,10967.7525,580.5797135
138,PK00144876,Harbour Walls (Sea Mills),Open Space,,Parks and Green Space Site,HARBWASEMI,000000303643,355271.4087,175115.2526,58511.25918,4358.736775,out,58511.259*,58511.25918,4358.736775
139,PK00144874,Grove Leaze A/A,Road Verges,,Parks and Green Space Site,GROVAA,000000303880,352629.3876,176801.1602,1080.932393,174.2746244,out,1080.9323*,1080.932393,174.2746244
140,PK00144825,Hassell Drive Open Space,Open Space," Play Area,",Parks and Green Space Site,EAST6OS,000000303545,360256.4528,173215.9042,24137.19267,1026.268147,In,24137.192*,24137.19267,1026.268147
